Run,LocalTime,Time,Altitude,Distance,HeartRate,Speed,VerticalSpeed,Cadence
One,2016-10-02 16:24:58,6.37,24,1110,135,2.8,0.1,81
One,2016-10-02 16:24:59,6.38,24,1114,135,2.9,0.1,81
One,2016-10-02 16:25:00,6.40,24,1117,136,2.9,0.1,81
One,2016-10-02 16:25:01,6.42,24,1121,136,2.9,0.1,81
One,2016-10-02 16:25:02,6.43,25,1124,135,2.9,0.1,83
One,2016-10-02 16:25:03,6.45,25,1127,135,2.9,0.11,84
One,2016-10-02 16:25:04,6.47,25,1130,135,2.9,0.11,86
One,2016-10-02 16:25:05,6.48,25,1132,135,2.9,0.11,87
One,2016-10-02 16:25:06,6.50,25,1135,134,2.9,0.11,87
One,2016-10-02 16:25:07,6.52,25,1137,134,2.8,0.13,85
One,2016-10-02 16:25:08,6.53,25,1140,133,2.8,0.13,86
One,2016-10-02 16:25:09,6.55,25,1142,133,2.8,0.13,85
